                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2488,                 2.5782,                 1.0837,                0.00305,                      1,                0.21151,                0.14348,                 1.0334,                 3.4316,                 0.9506,             0.00064957,             0.00064957,             0.00064957
                      2,                 1.1823,                 1.4304,                 1.0553,                      1,                 0.6455,                0.97213,                0.67861,                 1.0255,                 3.0188,                0.98016,              0.0013032,              0.0013032,              0.0013032
                      3,                 1.1915,                 1.2669,                 1.1044,                0.96095,                0.98958,                0.98278,                0.64579,                 1.0708,                 1.5506,                  1.123,              0.0019436,              0.0019436,              0.0019436
                      4,                 1.1618,                 1.0881,                 1.1106,                0.94042,                0.98646,                0.98024,                 0.7115,                0.99706,                 1.1828,                 1.1528,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.1631,                0.90651,                 1.0829,                0.94629,                0.95833,                0.96114,                  0.659,                 1.1051,                  1.139,                 1.1251,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.1129,                0.81365,                 1.0751,                0.95896,                      1,                0.96367,                0.69579,                  1.019,                 1.1023,                 1.0885,               0.001901,               0.001901,               0.001901
                      7,                 1.1341,                 0.7498,                 1.0982,                0.95726,                0.98958,                0.97556,                0.68364,                 1.0566,                0.87406,                 1.1117,              0.0018812,              0.0018812,              0.0018812
                      8,                  1.172,                0.73448,                 1.1013,                0.95029,                      1,                0.98422,                0.66446,                 1.1328,                0.77004,                 1.1594,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.0938,                0.68096,                 1.0643,                0.94852,                0.98958,                0.96289,                0.70817,                 1.0046,                0.70313,                 1.0656,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.1306,                0.66669,                 1.0706,                0.93801,                0.98958,                0.93574,                0.68543,                 1.0263,                0.66066,                 1.1136,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.1353,                0.65501,                  1.089,                0.94813,                      1,                0.96578,                0.68674,                 1.0769,                0.68238,                 1.1408,               0.001802,               0.001802,               0.001802
                     12,                 1.1685,                0.66039,                   1.11,                0.94008,                0.98958,                0.98705,                0.70086,                 1.0101,                0.65913,                 1.1033,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.1206,                0.62674,                 1.0747,                0.93975,                0.98958,                0.98151,                0.70325,                 1.0862,                0.63514,                 1.1585,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.1148,                0.60986,                 1.0889,                0.95742,                0.98958,                0.97106,                0.70963,                 1.0285,                0.55503,                 1.1133,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.0663,                0.58601,                  1.059,                0.93974,                0.98958,                 0.9491,                0.68058,                 1.0416,                0.60993,                 1.1017,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.0617,                0.56902,                 1.0507,                0.94347,                0.98958,                0.98242,                0.71506,                 1.0053,                0.56188,                 1.1133,               0.001703,               0.001703,               0.001703
                     17,                 1.0729,                0.56952,                 1.0513,                0.95013,                      1,                  0.963,                  0.702,                0.96697,                0.55647,                  1.072,              0.0016832,              0.0016832,              0.0016832
